Bhavnagar Steel Price History,,,
Daily calendar from 01-Jan-2022 to 10-Aug-2026; blank cells indicate no reported observation. The source begins publishing Bhavnagar observations on 02-Jan-2023.,,,
Sources: TMT — https://datastudio.google.com/reporting/c3bb43c8-a229-44ac-bb52-d669aa6c320f/page/9p9yF | Ingot & Billet — https://datastudio.google.com/reporting/15555fa5-1298-460c-b06f-5b58f9270001/page/9p9yF,,,
,,,
Date,TMT (₹/MT),Ingot (₹/MT),Billet (₹/MT)
44770,,,
44771,,,
44772,,,
44773,,,
44774,,,
44775,,,
44776,,,
44777,,,
44778,,,
44779,,,
44780,,,
44781,,,
44782,,,
44783,,,
44784,,,
44785,,,
44786,,,
44787,,,
44788,,,
44789,,,
44790,,,
44791,,,
44792,,,
44793,,,
44794,,,
44795,,,
44796,,,
44797,,,
44798,,,
44799,,,
44800,,,
44801,,,
44802,,,
44803,,,
44804,,,
44805,,,
44806,,,
44807,,,
44808,,,
44809,,,
44810,,,
44811,,,
44812,,,
44813,,,
44814,,,
44815,,,
44816,,,
44817,,,
44818,,,
44819,,,
44820,,,
44821,,,
44822,,,
44823,,,
44824,,,
44825,,,
44826,,,
44827,,,
44828,,,
44829,,,
44830,,,
44831,,,
44832,,,
44833,,,
44834,,,
44835,,,
44836,,,
44837,,,
44838,,,
44839,,,
44840,,,
44841,,,
44842,,,
44843,,,
44844,,,
44845,,,
44846,,,
44847,,,
44848,,,
44849,,,
44850,,,
44851,,,
44852,,,
44853,,,
44854,,,
44855,,,
44856,,,
44857,,,
44858,,,
44859,,,
44860,,,
44861,,,
44862,,,
44863,,,
44864,,,
44865,,,
44866,,,
44867,,,
44868,,,
44869,,,
44870,,,
44871,,,
44872,,,
44873,,,
44874,,,
44875,,,
44876,,,
44877,,,
44878,,,
44879,,,
44880,,,
44881,,,
44882,,,
44883,,,
44884,,,
44885,,,
44886,,,
44887,,,
44888,,,
44889,,,
44890,,,
44891,,,
44892,,,
44893,,,
44894,,,
44895,,,
44896,,,
44897,,,
44898,,,
44899,,,
44900,,,
44901,,,
44902,,,
44903,,,
44904,,,
44905,,,
44906,,,
44907,,,
44908,,,
44909,,,
44910,,,
44911,,,
44912,,,
44913,,,
44914,,,
44915,,,
44916,,,
44917,,,
44918,,,
44919,,,
44920,,,
44921,,,
44922,,,
44923,,,
44924,,,
44925,,,
44926,,,
44927,,,
44928,55100,50500,50800
44929,,,
44930,55600,50300,51000
44931,,,
44932,,,
44933,55400,50100,50500
44934,,,
44935,,,
44936,,,
44937,54600,49800,50100
44938,,,
44939,,,
44940,55600,51400,51800
44941,,,
44942,56600,51300,52200
44943,,,
44944,56600,51300,51500
44945,,,
44946,,,
44947,,,
44948,,,
44949,,,
44950,,,
44951,,,
44952,,,
44953,55500,50300,50800
44954,,,
44955,,,
44956,,,
44957,55500,50300,50600
44958,,,
44959,56300,50300,50100
44960,,,
44961,56100,49300,49600
44962,,,
44963,,,
44964,,,
44965,55600,49000,49100
44966,55600,48300,48500
44967,53300,48000,48500
44968,55100,47900,48300
44969,,,
44970,,,
44971,,,
44972,,,
44973,,,
44974,,,
44975,56100,49300,48400
44976,,,
44977,,,
44978,,,
44979,,,
44980,,,
44981,56100,47800,49500
44982,,,
44983,,,
44984,56000,48300,48300
44985,56000,48300,48500
44986,56700,48300,48400
44987,,,
44988,56800,47800,48400
44989,56800,47900,48400
44990,,,
44991,56800,48200,48300
44992,,,
44993,,,
44994,,,
44995,,,
44996,,,
44997,,,
44998,57100,48200,48600
44999,,,
45000,,,
45001,,,
45002,,,
45003,56200,46900,47400
45004,,,
45005,,,
45006,,,
45007,55500,47000,47100
45008,,,
45009,55500,47200,47200
45010,,,
45011,,,
45012,,,
45013,,,
45014,,,
45015,,,
45016,55900,48200,48600
45017,,,
45018,55900,49000,49000
45019,,,
45020,56100,48900,49300
45021,,,
45022,,,
45023,,,
45024,56700,48400,48800
45025,,,
45026,,,
45027,56700,47700,48400
45028,,,
45029,56300,48300,48500
45030,56300,48900,49100
45031,,,
45032,,,
45033,,,
45034,,,
45035,,,
45036,56300,48900,48700
45037,,,
45038,,,
45039,,,
45040,56000,47800,48400
45041,,,
45042,,,
45043,55800,47300,47700
45044,55400,47300,47900
45045,,,
45046,,,
45047,,,
45048,54900,46500,46900
45049,,,
45050,,,
45051,54400,46300,46400
45052,,,
45053,,,
45054,,,
45055,53800,46600,47000
45056,53800,47100,47000
45057,53900,46500,47300
45058,53900,46700,47300
45059,,,
45060,,,
45061,,,
45062,,,
45063,,,
45064,56300,47400,48200
45065,,,
45066,53300,46800,48200
45067,,,
45068,,,
45069,,,
45070,,,
45071,,,
45072,,,
45073,,,
45074,,,
45075,52500,46100,46700
45076,,,
45077,52300,46300,46300
45078,,,
45079,,,
45080,51800,45500,46100
45081,,,
45082,,,
45083,51300,45900,46500
45084,,,
45085,,,
45086,,,
45087,,,
45088,,,
45089,51300,46300,46700
45090,,,
45091,,,
45092,,,
45093,,,
45094,,,
45095,,,
45096,,,
45097,50800,46200,46600
45098,,,
45099,,,
45100,,,
45101,,,
45102,,,
45103,,,
45104,,,
45105,,,
45106,49800,45300,45800
45107,,,
45108,,,
45109,,,
45110,,,
45111,49500,44500,45300
45112,49300,44500,45100
45113,,,
45114,49300,44300,44800
45115,48800,43800,44500
45116,,,
45117,,,
45118,48500,42800,43900
45119,,,
45120,,,
45121,48200,43100,43700
45122,47900,43100,43600
45123,,,
45124,47700,43100,43600
45125,,,
45126,48000,43300,44000
45127,,,
45128,48000,42900,43200
45129,48000,42900,43100
45130,,,
45131,47800,42500,43000
45132,,,
45133,,,
45134,47600,42500,43000
45135,47500,43000,43100
45136,47800,43100,43500
45137,,,
45138,,,
45139,48300,44000,44000
45140,48900,44100,44300
45141,49300,44000,44600
45142,49500,43800,44400
45143,,,
45144,,,
45145,50200,43900,44300
45146,49700,43800,44200
45147,49700,43800,43800
45148,49700,43800,44200
45149,,,
45150,,,
45151,,,
45152,49600,43500,44000
45153,,,
45154,49300,44100,44200
45155,50300,44600,44900
45156,50600,45000,45500
45157,,,
45158,,,
45159,50400,44600,45100
45160,50400,44700,44900
45161,50400,44700,45100
45162,50900,44900,45300
45163,51800,45700,46100
45164,,,
45165,,,
45166,53400,46700,46700
45167,53800,47200,47600
45168,,,
45169,53800,47200,47400
45170,53800,47000,47500
45171,53800,46700,47500
45172,,,
45173,53800,46900,47000
45174,53800,47100,47300
45175,53800,46900,47300
45176,,,
45177,53500,46700,47300
45178,53300,46600,47000
45179,,,
45180,53300,46600,47000
45181,,,
45182,53300,46700,47100
45183,53300,46700,47100
45184,53300,47000,47300
45185,,,
45186,,,
45187,53600,47000,47400
45188,53800,47300,48000
45189,54000,47000,47600
45190,54000,46600,47200
45191,,,
45192,53700,46300,46800
45193,,,
45194,,,
45195,53500,46500,47000
45196,53500,46300,46800
45197,53100,46200,46700
45198,53100,46000,46500
45199,52700,45900,46400
45200,,,
45201,,,
45202,52000,45500,46300
45203,52000,45500,45800
45204,52000,45900,45900
45205,,,
45206,,,
45207,,,
45208,52600,45800,46300
45209,52600,45800,46200
45210,52600,45400,45900
45211,52300,45000,45600
45212,52200,44400,45400
45213,,,
45214,,,
45215,52000,44800,45400
45216,52000,44400,45300
45217,,,
45218,52000,44000,44800
45219,,,
45220,,,
45221,,,
45222,51400,43100,43700
45223,,,
45224,51400,43100,43600
45225,51300,43500,43900
45226,51300,44000,44200
45227,51300,43800,44300
45228,,,
45229,51000,44100,44500
45230,51000,43900,44300
45231,,,
45232,51000,43300,43800
45233,,,
45234,51000,43200,43600
45235,,,
45236,,,
45237,50600,42600,43000
45238,50400,42900,43000
45239,,,
45240,50200,43500,43500
45241,,,
45242,,,
45243,,,
45244,,,
45245,,,
45246,50200,43800,43800
45247,,,
45248,50200,43300,44100
45249,,,
45250,49700,43300,44100
45251,49600,43300,44000
45252,,,
45253,,,
45254,49300,43300,43900
45255,,,
45256,,,
45257,48600,43100,43600
45258,,,
45259,48400,42600,43000
45260,48400,42500,42900
45261,,,
45262,,,
45263,,,
45264,,,
45265,48400,42800,43200
45266,48400,43300,43500
45267,,,
45268,,,
45269,49300,43900,44100
45270,,,
45271,49900,43900,44300
45272,,,
45273,49800,43900,44100
45274,49800,43800,44200
45275,49800,43600,44200
45276,,,
45277,,,
45278,,,
45279,49700,42900,43700
45280,49600,42600,43300
45281,49300,42400,42900
45282,49000,42400,42800
45283,,,
45284,,,
45285,,,
45286,48800,42300,42900
45287,,,
45288,48500,42100,42500
45289,,,
45290,48500,42400,42800
45291,,,
45292,,,
45293,,,
45294,49100,43300,43100
45295,49100,43700,44100
45296,49500,43500,43900
45297,,,
45298,,,
45299,,,
45300,49100,43000,43500
45301,48800,43400,43500
45302,,,
45303,48500,43300,43600
45304,,,
45305,,,
45306,,,
45307,48400,43100,43600
45308,,,
45309,48300,43200,43300
45310,,,
45311,,,
45312,,,
45313,,,
45314,48000,42200,43500
45315,,,
45316,,,
45317,,,
45318,,,
45319,,,
45320,,,
45321,,,
45322,47900,42900,43400
45323,47900,42800,43300
45324,47900,42500,43000
45325,,,
45326,,,
45327,47900,42700,43000
45328,47800,42400,42900
45329,,,
45330,,,
45331,,,
45332,47700,42400,42800
45333,,,
45334,,,
45335,47700,42300,42700
45336,,,
45337,,,
45338,47500,42400,42900
45339,47300,42600,43000
45340,,,
45341,,,
45342,47300,43000,43300
45343,,,43300
45344,47600,42800,
45345,48000,43100,43400
45346,,,
45347,,,
45348,,,
45349,48300,42600,43300
45350,,,
45351,48300,43300,43500
45352,,,
45353,,,
45354,,,
45355,,,
45356,,,
45357,48700,42900,43300
45358,,,
45359,,,
45360,49000,43000,43400
45361,,,
45362,49000,42800,43300
45363,48800,42600,43200
45364,,,
45365,48800,42400,42900
45366,,,
45367,,,
45368,,,
45369,48700,42200,42700
45370,,,
45371,,,
45372,,,
45373,,,
45374,,,
45375,,,
45376,,,
45377,48300,41900,42200
45378,,,
45379,48200,42300,42500
45380,,,
45381,48500,42400,42800
45382,,,
45383,48500,42700,42800
45384,48600,43300,43500
45385,48900,43600,43800
45386,,,
45387,50400,44200,44500
45388,,,
45389,,,
45390,,,
45391,50700,43500,43900
45392,50700,43200,43800
45393,,,
45394,,,
45395,50700,43400,43800
45396,,,
45397,,,
45398,52500,45300,46300
45399,,,
45400,52600,45500,45900
45401,,,
45402,,,
45403,,,
45404,53000,44900,45600
45405,,,
45406,53000,44300,45200
45407,,,
45408,53000,44600,44600
45409,,,
45410,,,
45411,53000,45100,45500
45412,,,
45413,53200,46200,46300
45414,,,
45415,53300,46400,46800
45416,,,
45417,,,
45418,,,
45419,54000,47000,47500
45420,54000,47200,47600
45421,,,
45422,,,
45423,53800,46600,47000
45424,,,
45425,,,
45426,,,
45427,53000,46400,47000
45428,,,
45429,53000,46900,47200
45430,,,
45431,,,
45432,52700,46600,47300
45433,,,
45434,,,
45435,52400,46500,47100
45436,,,
45437,,,
45438,,,
45439,51900,45800,46200
45440,,,
45441,51800,46100,46300
45442,,,
45443,,,
45444,,,
45445,,,
45446,52500,47300,48000
45447,52500,47100,47500
45448,,,
45449,,,
45450,,,
45451,52000,46500,46900
45452,,,
45453,51700,46400,46800
45454,51200,45800,46600
45455,,,
45456,51000,45500,45900
45457,,,
45458,50900,44800,45500
45459,,,
45460,50600,44800,45400
45461,50600,44600,45100
45462,,,
45463,49800,43900,44600
45464,,,
45465,,,
45466,,,
45467,,,
45468,48800,42300,42900
45469,,,
45470,,,
45471,,,
45472,48800,43600,44200
45473,,,
45474,,,
45475,48800,43500,44100
45476,,,
45477,,,
45478,48300,42500,43200
45479,,,
45480,,,
45481,48000,41700,42300
45482,,,
45483,48000,41800,42100
45484,,,
45485,47200,42500,42500
45486,,,
45487,,,
45488,47100,42400,43000
45489,,,
45490,47200,42100,42700
45491,,,
45492,47200,41500,42300
45493,47200,41800,42100
45494,,,
45495,,,
45496,47200,41600,42000
45497,,,
45498,47100,41700,42100
45499,,,
45500,,,
45501,,,
45502,46200,42000,42400
45503,,,
45504,47800,42200,42800
45505,,,
45506,47800,41600,42300
45507,,,
45508,,,
45509,,,
45510,47000,41000,41500
45511,,,
45512,47000,40700,41200
45513,,,
45514,46800,40600,40900
45515,,,
45516,,,
45517,46500,40700,41100
45518,46500,40700,41200
45519,,,
45520,,,
45521,,,
45522,46500,40800,41200
45523,,,
45524,,,
45525,46800,41100,41400
45526,,,
45527,,,
45528,,,
45529,,,
45530,,,
45531,46500,40700,41000
45532,,,
45533,,,
45534,,,
45535,,,
45536,,,
45537,46500,40500,41100
45538,,,
45539,46500,40400,40900
45540,,,
45541,,,
45542,,,
45543,,,
45544,46500,40700,40800
45545,46500,40100,40700
45546,,,
45547,46300,39500,40200
45548,,,
45549,46300,39700,40100
45550,,,
45551,,,
45552,46300,39400,39800
45553,,,
45554,,,
45555,,,
45556,46500,40400,40800
45557,,,
45558,,,
45559,47100,41900,41900
45560,,,
45561,47800,42500,42900
45562,,,
45563,48000,42200,42600
45564,,,
45565,,,
45566,,,
45567,,,
45568,49700,43400,43700
45569,49700,43500,43800
45570,,,
45571,,,
45572,50100,43400,43900
45573,,,
45574,,,
45575,,,
45576,,,
45577,,,
45578,,,
45579,50100,43200,43400
45580,,,
45581,,,
45582,49900,42700,43100
45583,,,
45584,,,
45585,,,
45586,47800,41800,42700
45587,49100,41800,41800
45588,,,
45589,48800,40800,41500
45590,,,
45591,,,
45592,,,
45593,,,
45594,,,
45595,48100,40800,41100
45596,,,
45597,,,
45598,,,
45599,,,
45600,,40800,41200
45601,,,
45602,48000,41500,41600
45603,,,
45604,,,
45605,48500,42300,42700
45606,,,
45607,,,
45608,,,
45609,48300,41900,42700
45610,,,
45611,48000,41500,43000
45612,,,
45613,,,
45614,,,
45615,47500,41800,41700
45616,,,
45617,,,
45618,,,
45619,47300,42000,42400
45620,,,
45621,,,
45622,47600,41500,42200
45623,,,
45624,,,
45625,,,
45626,,,
45627,,,
45628,,,
45629,46900,41400,41800
45630,,,
45631,,,
45632,,,
45633,,,
45634,,,
45635,47100,41600,42300
45636,,,
45637,,,
45638,46800,42100,42200
45639,46800,41900,42300
45640,,,
45641,,,
45642,46800,42500,42500
45643,,,
45644,,,
45645,47600,43000,43400
45646,47800,42900,43300
45647,47800,42700,43200
45648,,,
45649,,,
45650,47800,42600,43300
45651,,,
45652,47800,42600,43700
45653,,,
45654,,,
45655,,,
45656,47800,43300,43700
45657,,,
45658,,,
45659,47500,43600,44000
45660,47300,43300,43900
45661,,,
45662,,,
45663,47100,42900,43300
45664,,,
45665,47100,42500,43300
45666,47100,41800,43000
45667,,,
45668,,,
45669,,,
45670,,,
45671,46700,41900,42400
45672,46700,41900,42400
45673,46700,42000,42400
45674,,,
45675,,,
45676,,,
45677,,,
45678,,,
45679,,,
45680,,,
45681,,,
45682,,,
45683,,,
45684,47000,41900,42300
45685,47100,42200,42300
45686,47100,42200,42600
45687,,,
45688,,,
45689,,,
45690,,,
45691,47300,41300,42300
45692,47500,41300,41800
45693,,,
45694,,,
45695,47300,41400,41800
45696,,,
45697,,,
45698,47600,42200,42300
45699,,,
45700,47700,41900,42300
45701,,41800,42300
45702,47600,41500,42200
45703,,,
45704,,,
45705,47500,41500,42000
45706,,,
45707,47400,41300,41800
45708,,,
45709,47300,41400,42400
45710,47300,41400,42400
45711,,,
45712,,,
45713,47800,42000,42600
45714,,,
45715,48000,42400,42800
45716,,,
45717,,,
45718,,,
45719,48500,42100,42600
45720,48500,42100,42700
45721,48500,42300,42900
45722,48900,42300,42800
45723,48900,42400,42900
45724,,,
45725,,,
45726,48900,42100,42800
45727,48900,41900,43100
45728,,,
45729,48900,41900,42200
45730,,,
45731,,,
45732,,,
45733,48900,41900,42300
45734,49100,41900,42300
45735,,,
45736,49800,42500,42900
45737,,,
45738,,,
45739,,,
45740,,,
45741,,,
45742,,,
45743,50300,42700,43200
45744,50100,42500,43100
45745,50100,42700,43100
45746,,,
45747,,,
45748,,,
45749,50800,43300,44000
45750,50800,43400,44100
45751,,,
45752,51100,43400,44100
45753,,,
45754,51100,43000,43900
45755,,,
45756,50500,43400,43700
45757,,,
45758,,,
45759,,,
45760,,,
45761,50500,43500,44000
45762,,,
45763,50300,43500,43900
45764,,,
45765,49500,43300,43900
45766,,,
45767,49500,43300,43800
45768,,,
45769,,,
45770,49700,43100,43700
45771,49700,43200,43700
45772,,,
45773,,,
45774,,,
45775,49400,43000,43700
45776,,,
45777,,,
45778,49100,42700,43500
45779,,,
45780,48800,42800,43500
45781,,,
45782,,,
45783,,,
45784,48500,42700,43100
45785,,,
45786,48500,42500,43200
45787,,,
45788,,,
45789,48500,42300,43400
45790,48800,42600,43200
45791,48100,42500,43100
45792,48100,42200,43100
45793,,,
45794,47900,42400,42800
45795,,,
45796,,,
45797,,,
45798,,,
45799,,,
45800,47300,41900,42400
45801,,,
45802,,,
45803,,,
45804,,,
45805,,,
45806,,,
45807,,,
45808,46300,40800,41200
45809,,,
45810,,,
45811,,,
45812,,,
45813,,,
45814,46300,,
45815,,,
45816,,,
45817,,,
45818,,,
45819,45900,40300,40800
45820,45800,40300,40800
45821,45800,40100,40600
45822,45800,,
45823,,,
45824,,,
45825,45600,39800,40300
45826,45600,39800,40200
45827,45600,39600,40100
45828,,,
45829,45300,39200,39600
45830,,,
45831,45100,38800,39500
45832,45100,38400,39100
45833,,,
45834,45100,38800,39200
45835,45100,38700,39200
45836,45100,38500,39300
45837,,,
45838,45100,38500,39300
45839,45000,38400,39200
45840,45000,38400,38800
45841,45000,38300,38700
45842,,38300,38700
45843,44800,38200,38600
45844,,,
45845,,38200,38600
45846,44800,38200,38600
45847,45500,38600,38900
45848,45500,38600,39000
45849,46300,38500,39000
45850,,,
45851,,,
45852,45500,38200,38600
45853,,,
45854,45300,38100,38400
45855,45300,38600,38800
45856,,38700,38800
45857,,38600,39100
45858,,,
45859,45300,38500,39100
45860,,,
45861,45300,38600,39300
45862,45300,39800,39800
45863,45500,40300,40300
45864,45800,40300,40800
45865,,,
45866,46000,40100,40600
45867,,,
45868,46000,39400,40000
45869,,,
45870,46000,40000,40200
45871,,,
45872,,,
45873,46000,40400,40800
45874,46000,40300,40700
45875,46000,40300,40700
45876,45800,40000,40700
45877,,,
45878,,,
45879,,,
45880,45600,40100,40300
45881,,,
45882,45600,39900,40500
45883,,,
45884,,,
45885,,,
45886,,,
45887,45500,39900,40300
45888,,,
45889,,,
45890,45500,40000,40400
45891,45100,39800,40300
45892,,,
45893,,,
45894,44800,39500,39900
45895,,,
45896,44800,39300,39600
45897,,,
45898,44800,39100,39600
45899,,,
45900,,,
45901,44800,38900,39500
45902,44600,38600,39300
45903,,,
45904,,,
45905,,,
45906,,,
45907,,,
45908,44900,39700,39700
45909,45100,39700,40100
45910,45100,39400,39800
45911,45100,36100,39500
45912,,,
45913,,,
45914,,,
45915,,,
45916,44800,38800,39300
45917,,,
45918,44800,38600,39000
45919,44800,39000,39300
45920,44800,38900,39300
45921,,,
45922,44800,38700,39300
45923,,,
45924,44800,38800,39300
45925,,,
45926,,,
45927,44800,,
45928,,,
45929,44800,38500,39000
45930,44800,38500,38800
45931,,,
45932,,,
45933,,,
45934,44600,38100,38500
45935,,,
45936,,,
45937,44500,37600,38100
45938,44300,37800,38000
45939,,,
45940,,,
45941,,,
45942,,,
45943,43800,37300,37900
45944,,,
45945,43800,37000,37400
45946,,,
45947,,,
45948,43600,37200,37600
45949,,,
45950,,,
45951,,,
45952,,,
45953,,,
45954,43500,,
45955,,,
45956,,,
45957,,,
45958,,,
45959,,,
45960,42700,37400,37700
45961,42800,37500,37900
45962,,,
45963,,,
45964,42800,37400,38000
45965,42900,37700,37900
45966,42900,37500,38100
45967,42900,37400,37900
45968,42600,37400,37800
45969,42500,37300,37700
45970,,,
45971,42500,37200,37600
45972,,,
45973,42500,37400,37800
45974,42500,37600,37800
45975,,,
45976,,,
45977,,,
45978,42300,38300,38500
45979,42300,38100,38700
45980,42500,38000,38400
45981,,,
45982,42700,38100,38600
45983,,,
45984,,,
45985,,,
45986,,,
45987,42700,38400,38700
45988,,38600,39000
45989,,38700,39300
45990,,,
45991,,,
45992,,,
45993,43300,,
45994,,,
45995,,,
45996,43600,39700,40200
45997,43800,39700,40000
45998,,,
45999,43800,39300,40000
46000,43700,39200,39700
46001,,,
46002,43600,39400,39800
46003,43600,39200,39600
46004,43600,39100,39500
46005,,,
46006,43600,39100,39500
46007,43600,39700,39500
46008,43600,39700,40200
46009,43500,39500,40000
46010,,,
46011,43800,39900,40300
46012,,,
46013,42600,40400,40300
46014,44800,40600,40800
46015,45100,40700,41100
46016,,,
46017,45100,40700,41100
46018,45100,40700,41100
46019,,,
46020,45500,41900,41100
46021,,,
46022,44900,42000,43300
46023,46300,42900,43400
46024,46800,44600,45000
46025,,,
46026,,,
46027,,,
46028,47300,43500,44500
46029,,,
46030,47100,42900,43700
46031,,,
46032,,,
46033,47100,42900,43300
46034,,,
46035,,,
46036,46800,42600,43000
46037,46800,43900,43000
46038,,,
46039,47200,44900,45300
46040,,,
46041,48000,44900,45300
46042,,,
46043,48000,43500,44300
46044,,,
46045,,,
46046,,,
46047,,,
46048,,,
46049,48000,43200,43800
46050,48000,43100,43500
46051,48000,43200,43100
46052,48000,43200,43600
46053,,,
46054,,,
46055,48300,42800,43300
46056,48300,42900,43100
46057,48300,42900,43600
46058,48500,43500,43900
46059,48600,43800,43900
46060,48900,43500,43900
46061,,,
46062,,,
46063,49800,43700,44100
46064,,,
46065,,,
46066,,,
46067,49800,42500,43600
46068,,,
46069,49800,43200,43800
46070,49700,43100,43600
46071,49700,43000,43500
46072,49300,42700,43400
46073,,,
46074,49300,42800,43200
46075,,,
46076,49300,42500,43100
46077,49200,42500,43000
46078,49200,42300,42800
46079,49100,42400,42600
46080,,,
46081,,42000,42400
46082,,,
46083,,,
46084,,,
46085,,,
46086,,,
46087,51800,44100,44100
46088,51800,43900,44500
46089,,,
46090,51800,43900,44500
46091,,,
46092,,,
46093,52100,44400,44500
46094,52300,44300,44800
46095,52300,44200,44600
46096,,,
46097,52300,44200,44600
46098,52300,44200,44600
46099,,,
46100,,,
46101,52100,44000,44300
46102,,,
46103,,,
46104,,,
46105,52100,43900,44300
46106,52100,43900,44400
46107,52100,43900,44300
46108,,,
46109,52500,44800,45200
46110,,,
46111,52500,45900,45200
46112,52300,46200,46300
46113,,46800,46600
46114,55200,47400,47800
46115,55200,46900,47600
46116,55200,47700,47400
46117,,,
46118,55200,48300,47400
46119,55200,48600,49000
46120,55400,48600,49500
46121,55400,48600,48300
46122,55200,46400,47100
46123,,,
46124,,,
46125,55100,46400,46500
46126,54800,45900,46300
46127,,,
46128,,,
46129,54300,44600,45300
46130,54300,44700,45300
46131,,,
46132,54000,44900,45300
46133,53300,44600,45100
46134,,,
46135,,,
46136,53400,45500,46400
46137,53300,45300,45600
46138,,,
46139,52800,45300,45600
46140,52500,45300,45300
46141,51800,44700,44900
46142,,,
46143,51500,45100,45500
46144,51500,45200,45600
46145,,,
46146,51500,45300,45600
46147,51500,45300,45600
46148,,,
46149,,,
46150,,,
46151,50600,43700,44500
46152,,,
46153,,,
46154,50600,43300,43900
46155,,,
46156,49700,42700,43200
46157,49700,42700,43300
46158,,,
46159,,,
46160,49400,42700,43100
46161,49100,42600,43300
46162,48800,42600,43300
46163,48800,42500,43000
46164,48700,42600,42800
46165,,,
46166,,,
46167,48000,42400,42600
46168,,,
46169,48700,43500,43500
46170,,,
46171,48500,43500,43500
46172,48300,42900,43400
46173,,,
46174,48000,42700,43300
46175,48000,42700,43000
46176,47300,42700,42800
46177,,,
46178,47200,42600,42900
46179,,,
46180,,,
46181,47100,42400,42900
46182,46800,42200,42800
46183,46300,41800,42600
46184,,,
46185,46500,42300,43200
46186,46500,42300,42700
46187,,,
46188,46300,42100,42700
46189,46100,42100,42500
46190,46100,42100,42500
46191,45900,41800,42300
46192,,,
46193,,,
46194,,,
46195,45900,41200,42000
46196,,,
46197,,,
46198,45500,40900,41600
46199,45500,40700,41500
46200,45300,40600,41400
46201,,,
46202,,,
46203,,,
46204,45100,40600,41800
46205,45100,40800,41300
46206,,,
46207,,,
46208,,,
46209,45100,40000,40900
46210,45100,39900,40300
46211,45100,39700,40200
46212,45100,39700,40300
46213,45100,39700,40200
46214,45100,39700,40300
46215,,,
46216,45100,39600,40300
46217,45100,39800,39900
46218,45100,39900,40300
46219,45100,40000,40500
46220,,,
46221,45500,40400,40800
46222,,,
46223,45900,40200,40900
46224,45900,40200,40900
46225,,,
46226,46100,39800,40500
46227,,,
46228,46500,40300,41000
46229,,,
46230,46800,40700,41200
46231,47100,41100,42000
46232,,,
46233,48000,40600,41300
46234,47800,40300,41100
46235,,,
46236,,,
46237,48000,40900,41100
46238,48000,40900,41500
46239,,,
46240,48000,41200,41800
